Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
EXC,Exelon Corporation Common Stock,$50.13,0.11,0.22%,49134266206.00,United States,,6020643,Public Utilities,Power Generation
EXPE,Expedia Group Inc. Common Stock,$179.79,-2.19,-1.203%,28003075845.00,United States,,2543359,Transportation,Other Consumer Services
FANG,Diamondback Energy Inc. Commmon Stock,$141.99,5.04,3.68%,25191151448.00,United States,2012,2256456,Energy,Oil & Gas Production
FB,Meta Platforms Inc. Class A Common Stock,$222.33,-0.62,-0.278%,605169355967.00,United States,2012,18363496,Technology,Internet and Information Services
FCNCA,First Citizens BancShares Inc. Class A Common Stock,$634.20,8.20,1.31%,10133510159.00,United States,,110500,Finance,Major Banks
FFIV,F5 Inc. Common Stock,$210.21,-3.71,-1.734%,12767770716.00,United States,1999,260468,Technology,EDP Services
FISV,Fiserv Inc. Common Stock,$100.55,-0.24,-0.238%,65233295814.00,United States,1986,2787800,Technology,EDP Services
FITB,Fifth Third Bancorp Common Stock,$40.55,0.11,0.272%,27804023525.00,United States,,4278491,Finance,Major Banks
FOX,Fox Corporation Class B Common Stock,$35.76,0.43,1.217%,20129397477.00,United States,,740709,Consumer Services,Broadcasting
FOXA,Fox Corporation Class A Common Stock,$38.97,0.55,1.432%,21936314868.00,United States,,2118610,Consumer Services,Broadcasting
FTNT,Fortinet Inc. Common Stock,$335.83,-2.29,-0.677%,54006651230.00,United States,2009,723080,Miscellaneous,Diversified Manufacture
FWONK,Liberty Media Corporation Series C Liberty Formula One Common Stock,$69.31,0.53,0.771%,16083728030.00,United States,,1322360,Consumer Services,Broadcasting
GFS,GlobalFoundries Inc. Ordinary Shares,$54.75,-1.44,-2.563%,29118554484.00,United States,2021,1563339,,
GILD,Gilead Sciences Inc. Common Stock,$62.30,1.31,2.148%,78235527670.00,United States,1992,10653218,Health Care,Biotechnology: Pharmaceutical Preparations
GLPI,Gaming and Leisure Properties Inc. Common Stock,$46.32,0.22,0.477%,11466219089.00,United States,,903861,Consumer Services,Real Estate Investment Trusts
GMAB,Genmab A/S ADS,$36.72,-1.85,-4.796%,24031703635.00,Denmark,2019,1010957,Health Care,Biotechnology: Commercial Physical & Biological Resarch
GOOG,Alphabet Inc. Class C Capital Stock,$2680.21,-49.09,-1.799%,1771541944257.00,United States,2004,820998,Technology,Internet and Information Services
GOOGL,Alphabet Inc. Class A Common Stock,$2665.75,-52.02,-1.914%,1761984298956.00,United States,,1256012,Technology,Internet and Information Services
GRAB,Grab Holdings Limited Class A Ordinary Shares,$3.61,0.13,3.736%,13505335192.00,Singapore,,18059017,,
HAS,Hasbro Inc. Common Stock,$84.36,-0.32,-0.378%,11722646028.00,United States,,793057,Consumer Non-Durables,Recreational Products/Toys
HBAN,Huntington Bancshares Incorporated Common Stock,$13.80,-0.05,-0.361%,19938607591.00,United States,,11862741,Finance,Major Banks
HOLX,Hologic Inc. Common Stock,$79.99,0.52,0.654%,19996229439.00,United States,1990,1659148,Health Care,Medical Electronics
HON,Honeywell International Inc. Common Stock,$190.16,-2.54,-1.318%,130351200833.00,United States,,2877793,Consumer Durables,Consumer Electronics/Appliances
HSIC,Henry Schein Inc. Common Stock,$90.40,0.88,0.983%,12400421120.00,United States,1995,891954,Health Care,Medical Specialities
HST,Host Hotels & Resorts Inc. Common Stock,$17.82,-0.13,-0.724%,12726154711.00,United States,,5806303,Consumer Services,Real Estate Investment Trusts
HTHT,Huazhu Group Limited American Depositary Shares,$32.24,-0.52,-1.587%,10434517719.00,China,2010,1462718,Consumer Services,Hotels/Resorts
HZNP,Horizon Therapeutics Public Limited Company Ordinary Shares,$113.17,0.78,0.694%,25937747931.00,Ireland,2011,1550897,Health Care,Biotechnology: Pharmaceutical Preparations
ICLR,ICON plc Ordinary Shares,$261.32,3.63,1.409%,21311869762.00,Ireland,1998,766613,Health Care,Biotechnology: Commercial Physical & Biological Resarch
IDXX,IDEXX Laboratories Inc. Common Stock,$547.12,-4.14,-0.751%,46077494411.00,United States,1991,367670,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
IEP,Icahn Enterprises L.P. Common Stock,$53.22,0.52,0.987%,15615616870.00,United States,,212058,Consumer Durables,Consumer Electronics/Appliances
ILMN,Illumina Inc. Common Stock,$362.68,-5.32,-1.446%,56940760000.00,United States,2000,861204,Health Care,Medical Specialities
INCY,Incyte Corp. Common Stock,$83.18,1.00,1.217%,18409829221.00,United States,,2147671,Health Care,Biotechnology: Commercial Physical & Biological Resarch
INTU,Intuit Inc. Common Stock,$482.84,-11.49,-2.324%,136553175429.00,United States,1993,1717479,Technology,Computer Software: Prepackaged Software
ISRG,Intuitive Surgical Inc. Common Stock,$289.86,-1.96,-0.672%,104116215453.00,United States,2000,959810,Health Care,Medical/Dental Instruments
JAZZ,Jazz Pharmaceuticals plc Common Stock (Ireland),$165.70,-2.96,-1.755%,10230125954.00,Ireland,2007,459945,Health Care,Biotechnology: Pharmaceutical Preparations
JBHT,J.B. Hunt Transport Services Inc. Common Stock,$173.18,0.59,0.342%,18158003356.00,United States,,1682880,Transportation,Trucking Freight/Courier Services
