Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
OLPX,Olaplex Holdings Inc. Common Stock,$15.45,0.44,2.931%,10023867933.00,United States,2021,1756097,Miscellaneous,Diversified Commercial Services
ON,ON Semiconductor Corporation Common Stock,$52.73,-1.36,-2.514%,22805610154.00,United States,,5966364,Technology,Semiconductors
ORLY,O'Reilly Automotive Inc. Common Stock,$736.47,9.64,1.326%,48825303080.00,United States,1993,476676,Consumer Services,Other Specialty Stores
OTEX,Open Text Corporation Common Shares,$42.52,-0.10,-0.235%,11530875067.00,Canada,1996,527011,,
PANW,Palo Alto Networks Inc. Common Stock,$608.23,-8.24,-1.337%,59901162354.00,United States,,944290,Technology,EDP Services
PARA,Paramount Global Class B Common Stock,$35.94,0.63,1.784%,23310133184.00,United States,,8966308,Consumer Services,Broadcasting
PAYX,Paychex Inc. Common Stock,$139.29,-0.55,-0.393%,50286112114.00,United States,1983,2396563,Miscellaneous,Business Services
PCAR,PACCAR Inc. Common Stock,$83.05,-0.22,-0.264%,28874383254.00,United States,,1657749,Capital Goods,Auto Manufacturing
PCTY,Paylocity Holding Corporation Common Stock,$202.96,-3.93,-1.90%,11185195215.00,United States,2014,144677,Technology,Computer Software: Prepackaged Software
PDD,Pinduoduo Inc. American Depositary Shares,$42.60,0.23,0.543%,53390102923.00,China,2018,13387226,Miscellaneous,Business Services
PEP,PepsiCo Inc. Common Stock,$173.13,0.58,0.336%,239481830118.00,United States,,3883054,Consumer Non-Durables,Beverages (Production/Distribution)
PFG,Principal Financial Group Inc Common Stock,$73.62,0.56,0.766%,18569630443.00,United States,2001,1608015,Finance,Specialty Insurers
PLUG,Plug Power Inc. Common Stock,$26.02,-1.30,-4.758%,15039795299.00,United States,1999,15231848,Consumer Durables,Electrical Products
PODD,Insulet Corporation Common Stock,$267.63,0.12,0.045%,18524711641.00,United States,2007,290545,Health Care,Medical/Dental Instruments
POOL,Pool Corporation Common Stock,$422.09,-3.59,-0.843%,16936619569.00,United States,1995,305410,Consumer Non-Durables,Recreational Products/Toys
PTC,PTC Inc. Common Stock,$103.50,-0.50,-0.481%,12104551562.00,United States,,726954,Technology,Computer Software: Prepackaged Software
PYPL,PayPal Holdings Inc. Common Stock,$111.21,-1.83,-1.619%,129560196375.00,United States,,10512963,Miscellaneous,Business Services
QCOM,QUALCOMM Incorporated Common Stock,$136.69,-2.53,-1.817%,154049630000.00,United States,1991,12986509,Technology,Computer peripheral equipment
QRVO,Qorvo Inc. Common Stock,$114.43,0.12,0.105%,12407831078.00,United States,,1113550,Capital Goods,Industrial Machinery/Components
REG,Regency Centers Corporation Common Stock,$70.54,1.35,1.951%,12088619889.00,United States,1993,860398,Consumer Services,Real Estate Investment Trusts
REGN,Regeneron Pharmaceuticals Inc. Common Stock,$738.84,17.04,2.361%,80193163113.00,United States,1991,1030122,Health Care,Biotechnology: Pharmaceutical Preparations
RIVN,Rivian Automotive Inc. Class A Common Stock,$38.80,-1.18,-2.951%,34941412052.00,United States,2021,10652686,Capital Goods,Auto Manufacturing
ROKU,Roku Inc. Class A Common Stock,$114.74,-2.43,-2.074%,15524582116.00,United States,2017,3771091,Consumer Services,Television Services
ROST,Ross Stores Inc. Common Stock,$96.84,1.49,1.563%,34028834206.00,United States,1985,2721279,Consumer Services,Clothing/Shoe/Accessory Stores
RPRX,Royalty Pharma plc Class A Ordinary Shares ,$41.42,0.59,1.445%,18005505869.00,United States,2020,2291962,Health Care,Biotechnology: Pharmaceutical Preparations
RYAAY,Ryanair Holdings plc American Depositary Shares,$87.61,-0.20,-0.228%,19879208815.00,Ireland,1997,415356,Transportation,Air Freight/Delivery Services
SBAC,SBA Communications Corporation Class A Common Stock,$372.72,3.43,0.929%,40260182338.00,United States,1999,629942,Consumer Services,Real Estate Investment Trusts
SBNY,Signature Bank Common Stock,$266.48,-3.47,-1.285%,16721952567.00,United States,2004,755746,Finance,Major Banks
SBUX,Starbucks Corporation Common Stock,$81.52,-1.60,-1.925%,93772456000.00,United States,1992,9279343,Consumer Non-Durables,Beverages - Non-Alcoholic
SEDG,SolarEdge Technologies Inc. Common Stock,$301.58,-13.35,-4.239%,16622683975.00,Israel,2015,699703,Technology,Semiconductors
SGEN,Seagen Inc. Common Stock,$151.84,-4.28,-2.741%,27911105202.00,United States,2001,2975922,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
SIRI,Sirius XM Holdings Inc. Common Stock,$6.50,-0.06,-0.915%,25661528120.00,United States,,12188582,Consumer Services,Broadcasting
SIVB,SVB Financial Group Common Stock,$500.37,0.09,0.018%,29426550545.00,United States,,597071,Finance,Major Banks
SNPS,Synopsys Inc. Common Stock,$319.83,-6.54,-2.004%,48965562658.00,United States,1992,783128,Technology,EDP Services
SNY,Sanofi ADS,$56.75,1.23,2.215%,141722577672.00,France,,4472041,Health Care,Biotechnology: Pharmaceutical Preparations
SPLK,Splunk Inc. Common Stock,$132.61,-3.51,-2.579%,21310427000.00,United States,2012,1201509,Technology,Computer Software: Prepackaged Software
SSNC,SS&C Technologies Holdings Inc. Common Stock,$73.06,0.01,0.014%,18628762306.00,United States,2010,808626,Technology,EDP Services
STLD,Steel Dynamics Inc.,$83.20,-0.44,-0.526%,15767929965.00,United States,1996,1450951,Basic Industries,Steel/Iron Ore
STX,Seagate Technology Holdings PLC Ordinary Shares (Ireland),$85.04,-1.49,-1.722%,18615114749.00,Ireland,2002,1117506,Technology,Electronic Components
SWKS,Skyworks Solutions Inc. Common Stock,$122.28,-0.78,-0.634%,19769129513.00,United States,,1417221,Technology,Semiconductors
TCOM,Trip.com Group Limited American Depositary Shares,$22.07,-0.30,-1.341%,14068663013.00,China,,4195396,Miscellaneous,Business Services
